configuration	Term	J	energy
"1s.8f"	"3F*"	"4"	"[24.3748073153049]"	
"1s.8f"	"3F*"	"2"	"[24.3748074487220]"	
"1s.8f"	"1F*"	"3"	"[24.3748076533589]"	
"1s.8g"	"3G"	"4"	"[24.3748234692642]"	
"1s.8g"	"3G"	"5"	"[24.3748235529486]"	
"1s.8g"	"3G"	"3"	"[24.3748236291783]"	
"1s.8g"	"1G"	"4"	"[24.37482368068775]"	
"1s.8h"	"3H*"	"5"	"[24.37482736358889]"	
"1s.8h"	"3H*"	"6"	"[24.37482741820554]"	
"1s.8h"	"3H*"	"4"	"[24.37482746777703]"	
"1s.8h"	"1H*"	"5"	"[24.37482750476883]"	
"1s.8i"	"3I"	"6"	"[24.37482860166212]"	
"1s.8i"	"3I"	"7"	"[24.37482863996989]"	
"1s.8i"	"3I"	"5"	"[24.37482867487578]"	
"1s.8i"	"1I"	"6"	"[24.37482870260794]"	
"1s.8k"	"3K*"	"7"	"[24.37482907849952]"	
"1s.8k"	"3K*"	"8"	"[24.37482910682705]"	
"1s.8k"	"3K*"	"6"	"[24.37482913277335]"	
"1s.8k"	"1K*"	"7"	"[24.37482915425795]"	
"1s.8p"	"1P*"	"1"	"[24.37546702047]"	
"1s.9s"	"3S"	"1"	"[24.40777570227]"	
"1s.9s"	"1S"	"0"	"[24.41408840062]"	
"1s.9p"	"3P*"	"2"	"[24.41686920906]"	
"1s.9p"	"3P*"	"1"	"[24.41686930227]"	
"1s.9p"	"3P*"	"0"	"[24.41687044765]"	
"1s.9d"	"3D"	"3"	"[24.419335888144]"	
"1s.9d"	"3D"	"2"	"[24.419335902367]"	
"1s.9d"	"3D"	"1"	"[24.419336102843]"	
"1s.9d"	"1D"	"2"	"[24.419363440351]"	
"1s.9f"	"3F*"	"3"	"[24.4194249695298]"	
"1s.9f"	"3F*"	"4"	"[24.4194250206772]"	
"1s.9f"	"3F*"	"2"	"[24.4194251143717]"	
"1s.9f"	"1F*"	"3"	"[24.4194252634467]"	
"1s.9g"	"3G"	"4"	"[24.41943648105410]"	
"1s.9g"	"3G"	"5"	"[24.41943653980575]"	
"1s.9g"	"3G"	"3"	"[24.41943659334250]"	
"1s.9g"	"1G"	"4"	"[24.41943662954452]"	
"1s.9h"	"3H*"	"5"	"[24.41943926060352]"	
"1s.9h"	"3H*"	"6"	"[24.41943929896249]"	
"1s.9h"	"3H*"	"4"	"[24.41943933377775]"	
"1s.9h"	"1H*"	"5"	"[24.41943935975852]"	
"1s.9i"	"3I"	"6"	"[24.41944015122678]"	
"1s.9i"	"3I"	"7"	"[24.41944017813147]"	
"1s.9i"	"3I"	"5"	"[24.41944020264687]"	
"1s.9i"	"1I"	"6"	"[24.41944022212417]"	
"1s.9k"	"3K*"	"7"	"[24.41944049736809]"	
"1s.9k"	"3K*"	"8"	"[24.41944051726346]"	
"1s.9k"	"3K*"	"6"	"[24.41944053548629]"	
"1s.9k"	"1K*"	"7"	"[24.41944055057566]"	
